ID,N_VICTIMAS,HORA_ACCIDENTE,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,PARTICIPANTES,ACUSADO,FECHA_ACCIDENTE,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,SEMESTRE,ANIO
2020-0026,1,06:40:00,Lugones Leopoldo Av. Km 61,Autopista,14,.,.,Moto-Objeto Fijo,Objeto Fijo,2020-05-17,Conductor,Moto,Masculino,28,2020-05-17 00:00:00,1,2020
2020-0027,1,08:00:00,Dellepiane Luis Tte. Gral. Y Montiel,Avenida,8,-58.48267426,-34.68454456,Peaton-Cargas,Cargas,2020-05-18,Peaton,Peaton,Masculino,76,2020-05-18 00:00:00,1,2020
2020-0028,1,10:00:00,Scalabrini Ortiz Raul Av. Y Warnes Av.,Avenida,15,-58.44248936,-34.60221948,Peaton-Pasajeros,Pasajeros,2020-05-19,Peaton,Peaton,Masculino,91,2020-05-23 00:00:00,1,2020
2020-0029,1,14:00:00,Paz Gral. Av. Y Roffo Angel H. Dr.,Gral Paz,9,-58.52909134,-34.63886726,Peaton-Pasajeros,Pasajeros,2020-06-10,Peaton,Peaton,Masculino,80,2020-06-12 00:00:00,1,2020
2020-0030,1,15:00:00,San Martin Av. 1550,Avenida,6,-58.45158942,-34.60646580,Multiple,Multiple,2020-06-16,Conductor,Moto,Masculino,40,2020-06-16 00:00:00,1,2020
2020-0031,1,08:00:00,Garzon Eugenio Gral. Av. Y Larraya,Avenida,9,-58.49344309,-34.65788529,Moto-Cargas,Cargas,2020-06-30,Conductor,Moto,Masculino,29,2020-06-30 00:00:00,1,2020
2020-0032,1,23:00:00,Corrientes Av. Y Serrano,Avenida,15,-58.44259166,-34.59635137,Moto-Auto,Auto,2020-07-10,Conductor,Moto,Masculino,21,2020-07-10 00:00:00,2,2020
2020-0033,1,06:25:00,Paz Gral. Av. Y Del Libertador Av.,Gral Paz,13,-58.46743471,-34.53476874,Auto-Objeto Fijo,Objeto Fijo,2020-07-19,Conductor,Auto,Masculino,32,2020-07-19 00:00:00,2,2020
2020-0034,1,03:20:00,Mitre Bartolome Y Anchorena Tomas Manuel De Dr.,Calle,3,-58.41178158,-34.60922259,Peaton-Auto,Auto,2020-08-02,Peaton,Peaton,Femenino,42,2020-08-02 00:00:00,2,2020
2020-0035,1,05:30:00,Au 25 De Mayo Altura Pumacahua Y Recuero Casimiro Tte. Cnel.,Autopista,7,-58.45068621,-34.63638927,Moto-Pasajeros,Pasajeros,2020-08-04,Conductor,Moto,Masculino,40,2020-08-04 00:00:00,2,2020
2020-0036,1,18:40:00,Scalabrini Ortiz Raul Av. Y Paraguay,Avenida,14,-58.42016954,-34.58778790,Peaton-Moto,Moto,2020-08-07,Peaton,Peaton,Masculino,72,2020-08-22 00:00:00,2,2020
2020-0037,1,04:30:00,Fernandez De La Cruz F. Gral. Av. Y Varela Av.,Avenida,8,-58.43850413,-34.65554754,Peaton-Auto,Auto,2020-08-29,Peaton,Peaton,Masculino,38,2020-08-29 00:00:00,2,2020
2020-0038,2,04:00:00,Las Heras General Av. Y Diaz Cnel. Av.,Avenida,14,-58.40617526,-34.58345898,Auto-Auto,Auto,2020-08-30,Conductor,Auto,Masculino,46,2020-08-30 00:00:00,2,2020
2020-0038,2,04:00:00,Las Heras General Av. Y Diaz Cnel. Av.,Avenida,14,-58.40617526,-34.58345898,Auto-Auto,Auto,2020-08-30,Conductor,Auto,Masculino,64,2020-08-30 00:00:00,2,2020
2020-0039,1,19:17:42,Murguiondo 2700,Calle,9,.,.,Peaton-Cargas,Cargas,2020-09-01,Peaton,Peaton,Masculino,44,2020-09-01 00:00:00,2,2020
2020-0040,1,03:30:00,Castillo Ramon S. Pres. Av. Y Calle 12,Avenida,2,-58.38526125,-34.57805810,Auto-Objeto Fijo,Objeto Fijo,2020-09-12,Conductor,Auto,Masculino,42,2020-09-12 00:00:00,2,2020
2020-0041,1,01:45:00,Curapaligue Y Peron Eva Av.,Avenida,7,-58.44750470,-34.63491705,Moto-Pasajeros,Pasajeros,2020-09-28,Conductor,Moto,Masculino,34,2020-09-28 00:00:00,2,2020
